"nodeid","count"
"94fa2cd9f72cc142b369a70d2c1a4c5bfc3c428f17d0f28715779789f84b5782",1440
"5781d6d06cffe79925be935d613b32fb3d06a2571b8504f6ae8b482b7982810b",1440
"86a83e943e9fede94f42433de56c93e544c715b982fdfb96e18c93e17dd788b5",1440
"243258cbefc17b44c57318159decbbd390b817c81c22450e2a57e26e7543f659",1440
"57c4237600c7a822fa99d3a5525e6e8622c696b5213e78747b075ede764483a6",1440
e0a6b5c6a0511426032ef0ff68194eb0be824ed1a6106600ac49881b56afa316,1440
bab86f34d1b53231e936ec2a7c6d2fb62951670d440da697e4571d69a5b76fda,1440
"7bde39af972beb4761a81ad8042c77f9f520bc40da81371508018009398d41f2",1440
"5c671a8fb23ae7cd7f5d91a6f533d1f3a5f97d99afb6d1f969d658012728a08a",1440
"3e215ff6ed84506f3dcc98e082e7c5b17253fc1b5c88a1bcfc5b793531cd2fa1",1440
"2b7a3c9105b8a1427425cd5dadffdf0117ffc167d6b593b5c0c39be9b7b7e369",1440
"349a079c1eee28899f70eb4de30a62e68640e2c1c94d417105b55b4440e6f997",1440
f1c5a79b45c027d469648ae6508144452434144dfe01090d1a46b5b3d12972db,1440
a83621ca55c1ea2f605251aaa144a6b155d2c9ebe7fe8f571d6448a4f542ae34,1440
"555f349db29b2bf67e99ba07bb741bb0c4074ccbff8db8dcbaa506e584c35eff",1440
"379d2ba1e1ac9b84a3e7ef90a04019cfd41222b4696b605b08033b14a7f0aac4",1440
"6744c0d4bcad4df9d370351d05618a25ec099de2232bed7897587d33c3d1e91d",1440
"93f223b82b92113b72622401e6393b49e1a8a74c0061d5f3265f2e4b8eea7983",1440
"3dfd0484dc23d3a9fa18491a8fa5aa03c494c9fad4483ef48a1ba6baa0020acb",1440
"45e5c35892348eabf1103056dd817e763d7f97f1f222febe8d4ef7f0e41bb551",1440
"87bd11d6654c91486cda77a6fdc65da9e4853f69dbfe30792780a82a1f68bbcc",1440
f2a3f40a258fd7b4ef83c71ae02f0d8a187bee32a9e809c918c49cc4cb6eee03,1440
da5272a84f8f8ae9ce82e75fdc2f854c009ec3a080a43f4e56b392541ac3afc2,1440
"60c6c0b29afd4db050b68d00ee526136df7aab26abc03748d7b3e5db8e780f18",1440
"8be982eb3fddbe82f9916cdcf3d865f710f795d9fd98ca02325fdfd26d9a5bbb",1440
cc9fdbd5ff0253654850259ea9966866c22541de73f7204234137759a09c631b,1440
"45c182a8ae260879fb44292be084c3ea6e7e820de54e7c1c93e08c8f9e34f0e7",1440
"71193c5f6e7d0a730fbb62a3140deaa537fb434bb923cc377514057297b58d48",1440
bb05e75a57a2d9f0bfc0256bac4c63b58dc9785e04a76b908e597bf6700441d6,1440
"30db73d231ae215fd488465c9086ad8c714ec1079ab47a1cbea25a33d1befeb2",1440
f60e53f6a05ac7b2bb128627bfb8b8e3b4a63882ad5f4b326a96147e0db2f617,1440
"4619f81ddb2be26868658feac6fceeaed7d9a828e35bdb4ca8c9fb3fbfb64987",1440
"37f7fcf3f35d5c5312d363395e6c5ea8eac897f4736ed4617e4f25d91d27bd14",1440
f61892797aef28b063f43cbe3de1c42bc6da55449aa23cd14f219364def5ab44,1440
b91d20385aa88b35ce02182ea5c127276afe034c49b9b906a70eda4823ea1ee2,1440
"2ab280becc468223ebaf0550cc15c0951e98b31e15229aacbd183974e5e16c9b",1440
"33025820e79c3b7a4b9c873882bdadd628fdb6e2bd3d136a4362c676dd13f66f",1440
b52a1c0ab68f30947fb62f443cb1cc0c483928c37045725f77e69ac3b1365c80,1440
"94bb38313d43f337be28a9984727a32d5c65d881d66238367e68c29b0757c360",1440
f0f620697918ecb8f14bb0678f4beb5d9e1dd45d3dd9b4704d9e532c414b03d7,1440
b92084a615c6ac2aab0617208b1c4752ada6b875dbea371e4ba2f9e632f80b36,1440
d6a47a9edfca5e0781680350bdb1558013fe9a55a6e1056f3a2c0394dbe59d59,1440
"2e6101d61e542caef2195e30c88a42959c494668190c572a7b8d97a42c63b42f",1440
"81630f03c0f0b48343eb99b4614da996a0a1ff2b57b0ac8088c44fdd4cafc581",1440
"81dbfddaba6b70efbddf35f173bba10996955c8de2a42ea13c5ce92ec4623adf",1440
"851c34551366d01930a5ba667b211fad10ca4a9194097463de9c8064d6a7e845",1440
d195d2911ead055f561b79566365f6fe9b7f39b131d3d9f1d49eb48bd17c3b4d,1440
"3bda80397661a71c1b48a6a2c2c73f499de3cb00e065b9a79df94ceecf37b206",1440
"6e4049a2cf70c5f4927c7163fd47173d4a931f83d8fac48face0d7180cd985d4",1440
"7b7f7f5a238f80a48e45b441f4193b6dfbbf3bc10de77ec5e9ba49855664044f",1440
c5ec7ece28ac8d8fabb8eb642fc6c06a320ce70ef1354a468e746fc51d1f64eb,1440
f9baf477a0979741a7d026592b260bbfd8172e7002fdded8e587376ff126affe,1440
e38400296f6db788536f8da479a1dbac40ac546c4ac13c80f1fc68ae18639ef4,1440
"7a4f13822639dbd11bc8521e7879476974321f44f3cc081f8448891ed4378b3d",1440
"16ab5adc29d39bd0502634c3f4c68a7d66d6ec884988060d2f397c3a783ec923",1440
c7364a5a5165f0641fb31f990b31ed19c83c6aada7bfaa04f12a1ad1d4c02056,1440
"45df784100b30db7aaae9c5af59ef46037029144838bea1ed83106df1a0ecb9f",1440
"4dffa96eabf1caa78df96cd4b3728f54dcb086764703763c8e49a6042b9c0e27",1440
"00c58392dab04c3f56c529fe9189f8cc658901f7290ecfc98c907a32b3ffcab6",1440
"093755fe5979a39d9573bcb3b7b6b1b9649492c264f2c4e442e4d652dc14b687",1440
"7c948f94d29f5b315ccc295a1ce0608e99a138903e0fa6fe4ae1fc45621ee1b4",1440
"695a07f3b03d435d8f1643737fb6e83b8f91e4d3083251af221417176a036e69",1440
a9043d5ffa25ebfcba1b621072ade37e4ad39cb3a4f2e6bb3aa29dd0b780c605,1440
